date,state,positive,negative,hospitalizedCurrently,hospitalizedCumulative,recovered,death,hospitalized,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease
20200311,NC,7,,,,,,,,,,,,37,0,0,7,7,0,7,0,0
20200311,ND,0,7,,,,,,,,,,,38,0,1,13,7,1,7,0,0
20200311,NE,5,47,,,,,,,,,,,31,2,0,68,52,2,52,0,0
20200311,NH,4,38,,,,,,,,,,,33,0,0,47,42,0,42,0,0
20200311,NJ,24,57,,,,1,,,,,,,34,9,13,101,81,22,81,1,0
20200311,NM,3,87,,,,,,,,,,,35,3,18,90,90,21,90,0,0
20200311,NV,5,168,,,,0,,,,,,,32,4,154,173,173,158,173,0,0
20200311,NY,216,92,,,,,,,,,,,36,43,0,308,308,43,308,0,0
20200311,OH,4,21,,,,,,,,4,,,39,1,7,49,25,8,25,0,0
20200311,OK,2,15,,,,,,,,,,,40,0,0,28,17,0,17,0,0
20200311,OR,19,286,,,,,,,,,,,41,4,73,367,305,77,305,0,0
20200311,PA,16,88,,,,,,,,,,,42,4,88,158,104,92,104,0,0
20200311,RI,5,139,,,,,,6,144,5,,,44,0,34,168,144,34,144,0,0
20200311,SC,9,32,,,,,,,,,,,45,2,8,41,41,10,41,0,0
20200311,SD,5,13,,,,,,,,,,,46,5,2,20,18,7,18,0,0
20200311,TN,7,50,,,,,,,,,,,47,0,50,57,57,50,57,0,0
20200311,TX,21,,,,,,,,,21,,,48,8,0,21,21,8,21,0,0
20200311,UT,2,,,,,,,,,2,,,49,0,0,2,2,0,2,0,0
20200311,VA,9,60,,,,,,,,,,,51,1,7,69,69,8,69,0,0
20200311,VT,2,91,,,,,,,,,,,50,1,31,93,93,32,93,0,0
20200311,WA,1665,6215,,,,40,,,,622,,,53,212,2055,7880,7880,2267,7880,3,0
